post_id,platform,content_type,content_theme,date_posted,organic_impressions,paid_impressions,organic_engagements,paid_engagements,clicks,reach,followers_gain,conversions,sentiment_score,country
post_243,Facebook,Story,User-Generated,29/09/2024,25227,42813,2481,4735,621,12495,213,82,0.64,Germany
post_229,Twitter,Video,Information,02/10/2024,57949,8544,7979,3996,1180,81739,268,36,-0.47,
post_9,Twitter,Story,Engagement,09/10/2024,68391,43842,8934,4677,507,54354,49,181,-0.94,
post_181,Twitter,Text,User-Generated,09/10/2024,47934,46378,3703,4264,1044,72182,47,109,-0.02,
post_116,Twitter,Live,User-Generated,11/10/2024,57420,6462,8466,4571,1188,50036,395,256,0.51,
post_222,TikTok,Text,Promotion,13/10/2024,27486,12557,9455,3183,1086,78371,187,36,-0.74,
post_174,TikTok,Carousel,Promotion,13/10/2024,39270,24503,850,4033,1478,54636,312,61,0.66,
post_133,Facebook,Image,Event,2024-07-22,95472,24370,4503,967,70,57272,32,295,0.05,Canada
post_10,LinkedIn,Carousel,Behind-the-Scenes,2024-07-27,45473,7161,3216,1148,580,10880,441,50,-0.8,United States
post_105,TikTok,Story,Behind-the-Scenes,2024-09-28,10742,43792,204,1895,319,-67287,30,247,0.05,
post_120,Pinterest,Story,Promotion,2024-08-30,67954,39087,6386,3986,1430,23706,250,95,-0.63,
post_251,Instagram,Carousel,Promotion,2024-10-13,84735,21029,4795,2614,1384,20571,58,-286,,Japan
post_159,Instagram,Carousel,Information,2024-08-28,68045,24525,9828,2445,996,37239,441,152,-0.21,Australia
post_227,Facebook,Story,Behind-the-Scenes,2024-08-17,91386,6249,5021,4720,1607,44829,418,61,0.59,Australia
post_183,LinkedIn,Live,User-Generated,2024-09-10,3032278,1572513,123109,44316,64589,1453138,1500,1526,0.74,Australia
post_197,Pinterest,Image,Product Launch,2024-09-14,31079,31596,6346,4719,284,31475,42,278,-0.91,
post_186,TikTok,Image,Behind-the-Scenes,2024-08-18,84105,44386,6213,91,1146,6475,-305,280,0.59,
post_269,Twitter,Carousel,Promotion,2024-08-15,57525,42161,7334,846,154,33846,9,76,-0.02,
post_127,Facebook,Live,Information,2024-09-06,96156,15344,1594,8,169,30647,227,-175,-0.9,Canada
post_79,LinkedIn,Carousel,Event,2024-08-06,17912,3631,8588,1348,1924,46353,265,40,0.28,Germany
post_26,Pinterest,Story,Promotion,2024-10-04,18786,11909,6311,3724,1568,37471,425,41,,
post_6,Pinterest,Text,User-Generated,2024-07-22,85012,19234,7533,-2157,1570,14947,152,259,0.77,
post_205,Twitter,Video,Engagement,2024-10-08,87956,434,8971,3950,655,76303,251,261,-0.76,
post_56,Instagram,Image,Product Launch,2024-08-18,81422,36486,4481,2238,642,47009,-445,205,0.95,Canada
post_47,Facebook,Text,Information,2024-08-12,66771,10783,7994,2417,703,62385,72,115,0.75,India
post_234,Twitter,Story,Information,2024-10-09,73737,14783,6536,719,1076,81274,351,123,1.0,
post_299,Pinterest,Text,Information,2024-09-23,76777,34657,3238,1407,1110,-96072,109,243,0.01,
post_115,TikTok,Text,Engagement,2024-08-09,63814,35020,6953,2945,1673,84647,55,181,-0.85,
post_58,Pinterest,Carousel,Behind-the-Scenes,2024-09-24,64783,20212,6575,448,-627,18987,148,3,-0.43,
post_78,Twitter,Video,Engagement,2024-07-24,18009,5650,6623,3921,1585,76353,497,37,-0.07,
post_196,Instagram,Video,Event,2024-09-17,3170,33053,2550,1453,1269,70655,60,66,-0.24,China
post_255,LinkedIn,Live,Product Launch,2024-09-30,55190,15970,8003,2791,1431,58062,175,120,0.07,United Kingdom
post_109,Twitter,Story,Engagement,2024-09-08,91349,32819,5766,3580,165,81460,203,167,-0.23,
post_209,LinkedIn,Live,Promotion,2024-09-01,46107,-7945,3359,4410,1608,43610,249,228,0.11,Canada
post_64,TikTok,Story,Promotion,2024-10-11,34029,43028,9974,2730,1369,46851,335,200,0.12,
post_210,LinkedIn,Story,Information,2024-08-08,81256,4675,5729,2595,1464,85494,454,185,0.86,China
post_173,LinkedIn,Text,,2024-10-12,12913,40571,8428,3737,754,30218,169,242,-0.93,France
post_291,TikTok,Text,Behind-the-Scenes,2024-09-13,59402,5740,7378,3404,601,96420,217,212,-0.43,
post_144,Twitter,Video,User-Generated,2024-10-18,75403,36903,8164,1438,194,79861,269,169,0.41,
post_165,LinkedIn,Live,User-Generated,2024-09-02,65248,12348,6709,-1837,278,3872,86,19,-0.73,India
post_153,Facebook,Carousel,Promotion,2024-09-14,42910,4391,9215,2671,1074,2620,319,214,-0.7,Canada
post_43,TikTok,Story,Behind-the-Scenes,2024-10-09,9968,44852,3827,3555,1567,14173,355,14,0.74,
post_257,Twitter,Video,User-Generated,2024-10-10,39207,37875,3469,2593,1636,40917,479,176,0.32,
post_29,LinkedIn,Text,Behind-the-Scenes,2024-10-04,2584598,1793816,227337,71237,42281,2344202,1251,615,0.8,United Kingdom
post_46,Facebook,Story,Product Launch,2024-07-27,31162,23089,3215,1120,1860,6167,225,186,0.67,United Kingdom
post_267,TikTok,Text,Information,2024-07-24,29419,41817,2065,4953,1354,85922,495,56,0.19,
post_83,LinkedIn,Story,Behind-the-Scenes,2024-08-29,32552,23127,4709,3855,26,57482,135,206,-0.21,France
post_95,Pinterest,Live,Product Launch,2024-08-21,70228,5118,1938,4486,424,20641,437,59,0.57,
post_17,Twitter,Carousel,Promotion,2024-09-01,33527,45958,734,1822,1890,41001,446,12,0.34,
post_94,Facebook,Live,Promotion,2024-08-10,41760,41858,4933,1809,283,60634,310,281,0.79,Brazil
post_8,Twitter,Video,Event,2024-09-29,71686,45211,5207,3059,1069,33493,173,283,0.21,
post_180,Pinterest,Story,Event,2024-08-14,23779,7821,7120,2164,1206,1739,363,20,0.37,
post_287,LinkedIn,Story,Event,2024-09-29,23509,14862,4820,387,592,22805,82,146,-0.74,United Kingdom
post_283,Facebook,Text,Behind-the-Scenes,2024-10-18,11611,22000,998,2981,237,61994,187,286,0.59,Canada
post_278,Instagram,Story,User-Generated,2024-07-23,4995412,566266,162828,140359,20615,2609060,2843,1788,0.93,Brazil
post_4,Twitter,Carousel,Behind-the-Scenes,2024-10-10,8331,2103,6672,1728,1171,42245,255,234,-0.35,
post_226,Twitter,Text,Promotion,2024-08-18,37170,33506,9465,309,329,49114,127,153,0.54,
post_117,Twitter,Text,Promotion,2024-08-27,19569,22483,3489,2853,907,60303,153,58,-0.77,
post_230,Instagram,Carousel,Information,2024-10-02,43039,42952,5094,2864,1654,20112,473,102,-0.15,France
post_61,TikTok,Live,Product Launch,2024-08-03,86918,41153,9336,3677,1816,84269,165,161,0.2,
post_290,Facebook,Text,Promotion,2024-08-18,77471,18214,1469,3649,1971,68081,251,261,-0.89,United States
post_261,Facebook,Story,Behind-the-Scenes,2024-07-31,37624,5127,1549,639,1114,41959,462,5,0.97,Brazil
post_119,Facebook,Live,Engagement,2024-07-29,26830,17193,8119,2567,1261,15972,432,88,0.07,Germany
post_18,TikTok,Video,Behind-the-Scenes,2024-07-29,71282,1808,4379,2174,1231,96491,223,261,0.28,
post_25,LinkedIn,Carousel,Promotion,2024-08-28,98978,39534,8099,3570,806,90016,370,239,0.91,United Kingdom
post_177,Instagram,Live,User-Generated,2024-09-29,46258,8694,3013,2640,1568,63963,482,213,0.25,Japan
post_111,Facebook,Text,Behind-the-Scenes,2024-08-24,68166,1721,9180,4899,1778,39253,398,286,-0.14,Australia
post_102,Instagram,Carousel,Event,2024-07-26,74249,13689,5555,125,399,16376,386,124,0.52,China
post_138,Pinterest,Image,Behind-the-Scenes,2024-08-06,92845,21381,4555,1660,1587,21369,230,208,-0.37,
post_282,TikTok,Image,Promotion,2024-08-29,60616,9084,6741,3034,1451,83222,457,271,0.14,
post_295,TikTok,Text,Promotion,2024-09-26,13387,10953,5280,2466,1439,13561,180,6,-0.61,
post_114,LinkedIn,Text,Product Launch,2024-09-05,90353,1763,7663,1717,606,10064,407,255,0.18,United Kingdom
post_219,Instagram,Image,Engagement,2024-08-01,8871,42242,8887,1030,658,85495,412,98,0.94,United States
post_126,Twitter,Video,Event,2024-08-29,3485257,678135,288653,115176,13585,4644598,2248,968,0.67,United States
post_245,LinkedIn,Story,Engagement,2024-10-07,12491,45131,4805,2592,1187,47380,314,266,0.96,Brazil
post_32,Instagram,Text,Engagement,2024-08-14,26105,31732,9759,4297,215,39829,91,273,0.9,United Kingdom
post_268,TikTok,Video,Information,2024-10-13,56965,43750,5398,606,137,44601,132,135,0.85,
post_169,Instagram,Live,Information,2024-08-04,87947,21539,7271,2197,200,45921,205,233,-0.91,Germany
post_149,Instagram,Image,Promotion,2024-09-07,45295,40215,607,1351,899,14272,498,283,0.88,Japan
post_228,TikTok,Live,Product Launch,2024-07-22,42853,9802,3717,3218,1551,67155,221,201,-0.89,
post_140,Facebook,Carousel,Product Launch,2024-09-29,2567,14567,6663,688,540,10828,33,227,0.61,United Kingdom
post_60,Instagram,Video,Product Launch,2024-09-17,32891,26243,6584,2781,1605,67910,271,178,-0.82,France
post_7,Pinterest,Video,Engagement,2024-08-10,-43487,7331,5138,1973,1949,96932,35,272,0.06,
post_199,LinkedIn,Story,Product Launch,2024-08-12,46135,26091,2051,3658,1954,29109,402,281,-0.49,China
post_31,Facebook,Video,Event,2024-09-30,3260,14522,4086,4764,1143,56771,281,232,0.29,Germany
post_23,Pinterest,Story,Information,2024-09-15,72810,10430,7877,2025,577,69327,122,39,0.01,
post_285,Facebook,Carousel,Event,2024-09-27,91862,4300,7601,3200,600,11085,141,75,-0.26,Brazil
post_247,Instagram,Story,User-Generated,2024-07-21,4816,12715,5636,3924,1642,18793,321,274,-0.21,France
post_57,Twitter,Live,Event,2024-08-01,49503,21258,9399,430,1555,89338,226,248,-0.16,
post_168,TikTok,Carousel,Information,2024-07-22,20548,33535,1759,1893,616,7564,89,148,0.67,
post_146,TikTok,Carousel,Product Launch,2024-09-21,81440,14630,2972,2412,1502,-93013,200,290,0.94,
post_207,Instagram,Video,User-Generated,2024-08-24,28594,49295,6663,1473,1189,14090,411,221,-0.27,India
post_82,TikTok,Text,Behind-the-Scenes,2024-09-06,59929,6344,6393,3425,1782,43917,369,81,-0.52,
post_40,LinkedIn,Live,Information,2024-08-24,19958,39280,2336,2263,1759,67550,1,152,-0.06,China
post_223,Facebook,Video,Event,2024-07-31,55519,46427,4455,576,169,69089,371,197,-0.28,Australia
post_97,Facebook,Carousel,Event,2024-09-06,1752027,526813,226726,89441,93092,1441122,2623,2294,0.76,Canada
post_184,TikTok,Carousel,Product Launch,2024-09-27,10452,10076,5534,600,1636,10232,116,208,0.48,
post_153,Facebook,Carousel,Promotion,2024-09-14,42910,4391,9215,2671,1074,2620,319,214,-0.7,Canada
post_110,Facebook,Live,Information,2024-09-16,90088,24908,4939,602,325,84086,199,54,0.88,Canada
post_67,LinkedIn,Text,Event,2024-09-15,32348,30737,3278,4672,955,51052,214,102,0.57,China
post_19,Facebook,Carousel,User-Generated,2024-07-26,71575,48624,3328,573,1895,42145,63,153,,Japan
post_187,Facebook,Text,Engagement,2024-09-03,25116,16563,3071,4647,1753,72939,281,34,0.7,Germany
post_154,LinkedIn,Video,Engagement,2024-10-03,14237,35103,6832,3977,978,37099,316,205,0.85,United States
post_20,Instagram,Live,Behind-the-Scenes,2024-10-18,89777,11405,5030,3,440,77019,164,226,-0.16,Australia
post_224,Twitter,Story,Event,2024-10-09,84705,44203,7097,1366,1136,45238,273,226,0.12,
post_93,Pinterest,Live,Behind-the-Scenes,2024-09-24,63580,16256,-6384,2187,628,76088,-334,120,-0.81,
post_80,Twitter,Live,User-Generated,2024-10-09,77106,43170,5631,4617,1779,6958,394,107,0.01,
post_125,LinkedIn,Story,Event,2024-09-06,97039,30044,5969,4378,1992,28767,165,172,0.16,Japan
post_185,LinkedIn,Carousel,,2024-08-30,82048,48886,1289,4119,1621,80503,391,195,0.07,India
post_73,Instagram,Text,User-Generated,2024-09-28,38501,3132,5538,3014,829,51678,95,254,,France
post_97,Pinterest,Image,,2024-09-19,96589,27548,6366,3092,1408,71687,440,91,0.54,
post_112,Pinterest,Story,Engagement,2024-08-11,57973,19644,1360,2020,1025,26630,69,202,-0.01,
post_70,Twitter,Video,User-Generated,2024-10-06,7258,41874,7589,4094,43,76372,73,0,-0.42,
post_98,Pinterest,Carousel,User-Generated,2024-08-18,95253,34860,3862,2835,396,96030,16,214,0.96,
post_234,Twitter,Story,Information,2024-10-09,73737,14783,6536,719,1076,81274,351,123,1.0,
post_69,LinkedIn,Story,Information,2024-07-31,94677,9571,4800,3870,294,62487,2,9,,Germany
post_24,TikTok,Text,Engagement,2024-08-30,21028,4209,5521,3406,1715,77556,10,294,-0.7,
post_38,LinkedIn,Text,Information,2024-08-10,73102,5771,5396,3311,1699,87200,236,96,-0.42,Japan
post_232,Pinterest,Live,,2024-10-14,23324,13152,4544,68,1362,87520,55,-197,0.33,
post_68,Twitter,Text,Promotion,2024-09-06,38363,10506,8510,3583,1874,60130,476,27,0.69,
post_60,LinkedIn,Text,Behind-the-Scenes,2024-10-05,4087739,1154325,230105,135243,63190,1947381,3268,2168,0.65,India
post_238,Twitter,Image,Engagement,2024-09-15,33346,2741,6332,3228,1530,71275,448,19,-0.35,
post_126,Pinterest,Video,User-Generated,2024-09-02,61238,-10353,111,3504,1420,86196,447,140,-0.91,
post_286,Twitter,Video,User-Generated,2024-07-23,46442,48346,4876,180,485,69107,210,167,0.08,
post_87,Pinterest,Live,Promotion,2024-09-15,81147,48223,2362,4594,1366,50391,88,272,0.38,
post_272,Facebook,Live,,2024-08-07,32258,4128,5141,3680,43,8347,369,60,,Australia
post_147,Facebook,Video,User-Generated,2024-10-07,98693,22728,2850,726,1382,45007,135,34,0.87,France
post_273,TikTok,Live,User-Generated,2024-10-15,10441,9279,412,375,1338,23577,463,49,0.48,
post_262,LinkedIn,Story,Behind-the-Scenes,2024-09-01,5630,39166,9335,3876,1183,39240,319,248,0.6,Canada
post_145,Pinterest,Video,Product Launch,2024-08-12,77888,9283,8722,594,1939,77810,154,80,-0.35,
post_211,Pinterest,Carousel,Behind-the-Scenes,2024-07-23,99269,10938,1665,3876,63,69679,42,79,-0.5,
post_156,LinkedIn,Video,Product Launch,2024-09-21,21836,46502,2322,4294,69,27309,127,25,0.64,France
post_270,TikTok,Live,Promotion,2024-10-14,1485,32157,6717,574,16,91342,246,274,-0.34,
post_130,Twitter,Story,User-Generated,2024-09-09,65865,15799,9830,98,1922,51703,291,279,0.8,
post_39,Instagram,Story,Product Launch,2024-09-15,58424,31766,4020,2545,1141,30451,467,60,0.1,United Kingdom
post_225,Instagram,Text,User-Generated,2024-08-31,43395,36906,6245,2081,936,53047,-17,8,0.27,Japan
post_194,Twitter,Text,User-Generated,2024-08-05,89503,13808,6832,353,1223,83515,456,28,-0.34,
post_158,Facebook,Video,Product Launch,2024-08-17,54674,44708,-2267,4924,468,41037,363,216,0.36,India
post_113,Instagram,Story,Behind-the-Scenes,2024-09-01,78908,21015,3390,1455,1993,97321,251,124,0.65,France
post_212,Facebook,Live,Behind-the-Scenes,2024-08-21,23361,43486,5428,3827,1117,72898,496,276,-0.75,United Kingdom
post_118,Facebook,Text,Event,2024-08-11,44383,30281,6736,1526,895,97650,101,219,0.03,India
post_298,Facebook,Carousel,Product Launch,2024-08-15,16587,2836,268,1014,430,27217,179,74,0.03,Germany
post_207,Facebook,Video,Product Launch,2024-09-13,4041711,1546709,123011,125246,98519,4212720,3383,2931,0.64,India
post_281,Pinterest,Image,Behind-the-Scenes,2024-07-26,52684,45655,7512,680,35,54296,67,122,0.01,
post_155,LinkedIn,Text,Event,2024-09-19,40722,32218,1709,1867,1533,43056,213,45,-0.96,Australia
post_166,TikTok,Text,Product Launch,2024-07-27,3587,7588,6330,2070,323,90881,154,51,,
post_203,Pinterest,Text,User-Generated,2024-10-02,32886,30071,9714,3948,148,29885,117,211,-0.25,
post_279,Facebook,Carousel,User-Generated,2024-09-14,18878,12724,4518,1042,1174,18891,238,87,-0.09,France
post_128,LinkedIn,Live,Engagement,2024-08-19,40223,49358,2440,4614,-1341,47030,321,210,-0.8,China
post_75,Instagram,Live,Product Launch,2024-07-30,21969,9357,7279,550,1331,51181,16,230,0.03,France
post_30,Instagram,Video,Product Launch,2024-08-25,50674,32394,3079,2906,707,79139,141,264,-0.07,Australia
post_84,Facebook,Carousel,Promotion,2024-08-14,73070,40844,2046,792,1637,74116,386,260,-0.23,India
post_267,TikTok,Text,Information,2024-07-24,29419,41817,2065,4953,1354,85922,495,56,0.19,
post_108,Facebook,Story,Promotion,2024-10-17,37749,36930,3038,2576,-434,99599,420,39,-0.91,Germany
post_176,Twitter,Live,User-Generated,2024-08-06,51418,39911,4167,2808,937,19111,358,262,0.21,
post_182,TikTok,Text,Information,2024-08-17,99583,576,5768,1997,1407,50987,483,131,-0.05,
post_134,LinkedIn,Carousel,User-Generated,2024-09-22,76223,7558,8436,-100,976,20671,491,283,-0.69,India
post_220,TikTok,Carousel,Information,2024-08-22,92362,37139,5796,3837,1712,73682,271,151,-0.12,
post_249,Pinterest,Image,Product Launch,2024-08-29,66149,24352,5058,2476,776,27489,227,247,-0.94,
post_297,Facebook,Carousel,Information,2024-09-05,45832,19967,2043,1166,639,18067,217,57,0.98,Canada
post_66,Twitter,Video,Engagement,2024-08-27,70013,22070,2247,1263,1712,82885,84,22,0.54,
post_86,Instagram,Text,Event,2024-09-12,4492,17401,9577,420,359,95526,430,124,0.45,United States
post_246,LinkedIn,Video,User-Generated,2024-08-27,82980,48330,6893,2734,1660,2480,353,34,,Germany
post_160,Twitter,Story,Product Launch,2024-07-28,90228,1668,4943,3428,1518,93808,417,113,0.2,
post_36,Facebook,Story,Engagement,2024-08-24,99167,18914,7779,3297,1034,58377,20,165,-0.67,China
post_171,LinkedIn,Image,Behind-the-Scenes,2024-07-29,98468,37028,5642,780,1498,46318,328,285,0.41,China
post_143,Pinterest,Video,Promotion,2024-08-25,31508,6562,4051,458,1951,51911,429,88,0.06,
post_221,Instagram,Story,Information,2024-10-10,48720,15649,1137,4415,398,66214,78,165,0.77,India
post_132,Pinterest,Video,Product Launch,2024-08-31,9665,28671,4009,706,247,80800,341,89,0.67,
post_195,Twitter,Text,Engagement,2024-09-10,87736,5619,7823,1397,851,77368,93,261,-0.96,
post_96,TikTok,Video,Event,2024-08-01,55450,3783,5149,3243,16,76800,216,32,-0.89,
post_239,Pinterest,Image,Behind-the-Scenes,2024-07-26,6144,33824,907,3600,633,38475,216,27,0.08,
post_179,TikTok,Live,User-Generated,2024-09-24,51014,44901,9146,2058,1789,59073,466,188,-0.42,
post_254,LinkedIn,Video,Engagement,2024-10-07,44296,21283,595,924,954,37996,309,260,-0.63,Canada
post_42,TikTok,Live,Engagement,2024-07-25,58711,29945,-2461,1264,1610,45375,203,168,-0.34,
post_90,Twitter,Image,Event,2024-08-18,14178,9009,-9116,1293,1924,63350,102,147,-0.17,
post_250,Pinterest,Video,Engagement,2024-09-20,13878,33826,2274,299,1471,16182,-477,44,0.55,
post_137,Facebook,Video,User-Generated,2024-09-12,13193,15169,8615,3051,1541,13527,326,38,0.99,China
post_27,LinkedIn,Image,Event,2024-09-03,5067,13065,2596,3879,1165,61952,392,58,0.91,United Kingdom
post_236,Facebook,Image,Engagement,2024-09-30,3765770,1135530,281918,117544,26514,3061414,2764,1050,0.66,India
post_1,TikTok,Image,Promotion,2024-08-21,12395,2082,3682,4931,417,92924,112,142,0.35,
post_289,LinkedIn,Video,,2024-08-09,93464,18994,9499,4630,1898,91327,245,71,0.95,Japan
post_276,TikTok,Video,Engagement,2024-08-24,5931,47002,1542,2467,19,26153,271,185,0.88,
post_293,LinkedIn,Image,Product Launch,2024-10-03,1320,19671,7842,2356,1017,85513,61,252,-0.07,Canada
post_101,LinkedIn,Video,Product Launch,2024-08-20,8552,27296,2296,2088,1334,59954,47,97,0.42,United States
post_193,Instagram,Story,Event,2024-07-30,47255,22612,7998,54,294,31145,329,76,0.81,United Kingdom
post_10,LinkedIn,Carousel,Behind-the-Scenes,2024-07-27,45473,7161,3216,1148,580,10880,441,50,-0.8,United States
post_214,LinkedIn,Story,Promotion,2024-09-21,39393,473,3189,4592,521,97615,424,134,-0.98,Canada
post_104,TikTok,Video,Promotion,2024-10-03,50786,16104,5630,4002,1324,61401,407,71,-0.7,
post_172,Facebook,Image,Event,2024-09-23,65441,21685,924,4509,835,11332,410,45,0.74,Brazil
post_99,Pinterest,Image,Engagement,2024-08-02,33077,26362,8943,462,602,96881,295,164,0.34,
post_37,Instagram,Image,Promotion,2024-10-15,89117,37764,2970,3622,381,58132,251,240,0.9,France
post_240,TikTok,Story,Engagement,2024-10-11,92241,25760,7487,3716,1469,60596,165,83,-0.77,
post_62,Twitter,Carousel,Promotion,2024-10-09,41685,2464,4803,739,1048,77064,405,21,-0.89,
post_48,Pinterest,Text,Promotion,2024-07-22,35362,41847,1875,3862,1820,43992,113,237,-0.26,
post_233,Twitter,Carousel,User-Generated,2024-08-02,27066,30014,452,4336,1013,21578,-350,154,0.19,
post_266,Instagram,Image,Information,2024-09-09,26549,44414,3047,86,1713,54903,53,179,-0.52,Australia
post_12,TikTok,Live,Behind-the-Scenes,2024-08-27,42104,38284,8801,4160,390,9907,120,291,0.47,
post_188,Instagram,Live,User-Generated,2024-07-24,4209456,1811040,139458,74882,17759,2795783,2413,1963,0.71,United States
post_201,Twitter,Live,Behind-the-Scenes,2024-08-15,79579,45773,2876,2946,10,12382,399,202,0.04,
post_288,Twitter,Live,Event,2024-08-09,58788,12091,668,2816,928,22311,62,207,0.99,
post_256,TikTok,Live,Promotion,2024-10-02,13799,11545,6748,890,1231,50664,330,46,0.19,
post_5,Twitter,Text,Engagement,2024-09-30,48447,9065,1589,898,337,56333,197,239,-0.14,
post_123,LinkedIn,Image,Product Launch,2024-08-16,83938,40380,3485,486,1100,71617,360,293,-0.3,Germany
post_33,Instagram,Image,Promotion,2024-10-18,2607,30762,5682,420,1774,9564,37,27,0.51,United Kingdom
post_235,Pinterest,Video,Behind-the-Scenes,2024-10-06,71956,13258,5162,4291,890,20025,289,162,-0.59,
post_163,Twitter,Text,Product Launch,2024-07-31,1617,13722,2862,1297,1573,17961,324,219,-0.65,
post_275,Instagram,Video,Product Launch,2024-10-18,18481,41431,2684,-3989,24,12683,303,213,-0.51,Brazil
post_139,Facebook,Story,Information,2024-08-16,90922,46183,760,2685,1466,47627,25,133,0.7,United Kingdom
post_63,LinkedIn,Story,Event,2024-10-06,46015,5526,2927,3586,1083,21807,469,209,-0.88,France
post_216,Twitter,Image,Information,2024-09-15,45815,32662,7697,259,1737,20148,397,278,-0.7,
post_136,Instagram,Story,Product Launch,2024-10-08,26614,35819,4116,3359,1119,91893,486,192,0.94,Germany
post_300,Instagram,Live,User-Generated,2024-10-15,29085,26711,5249,903,1025,93370,369,167,-0.29,Brazil
post_129,TikTok,Carousel,Product Launch,2024-08-02,57280,9163,1480,4923,1254,91502,433,154,0.46,
post_69,Facebook,Image,Event,2024-07-27,4482582,643085,180583,113880,8506,1751181,2567,2976,0.84,United Kingdom
post_71,Pinterest,Text,Engagement,2024-08-13,69951,33267,6497,356,774,3128,34,53,0.95,
post_284,Pinterest,Live,Product Launch,2024-09-01,77037,46061,3793,2190,876,9305,231,269,-0.04,
post_65,Twitter,Story,Event,2024-08-29,93121,48416,8724,3468,47,24627,174,248,-0.34,
post_45,Instagram,Live,User-Generated,2024-09-15,91480,19799,6402,873,1181,39780,151,202,-0.4,Germany
post_15,Instagram,Text,User-Generated,2024-09-02,7658,27759,822,-1071,546,58912,218,57,-0.47,Canada
post_157,TikTok,Video,Information,2024-09-18,49819,29235,7875,2865,1725,99167,46,197,-0.75,
post_41,Pinterest,Live,Behind-the-Scenes,2024-09-16,60682,12363,4012,1913,851,98609,467,197,0.1,
post_259,LinkedIn,Story,Engagement,2024-09-19,55687,43913,290,128,1822,58243,69,212,0.69,Brazil
post_296,Twitter,Story,Information,2024-09-21,66979,12348,9253,4306,1469,15937,469,67,-0.67,
post_263,Twitter,Story,Promotion,2024-08-25,98180,11443,2576,3029,545,31958,409,16,-0.45,
